leng,pos,neg,rating
27,3,0,5
46,3,0,5
129,13,3,5
462,25,8,4
51,4,0,5
47,4,0,5
42,2,0,5
56,3,2,4
153,7,8,5
32,2,1,5
47,3,1,5
72,3,3,2
18,2,0,5
70,6,2,5
25,3,0,5
72,10,1,5
24,2,0,5
31,1,0,5
20,1,0,5
389,16,6,2
49,3,4,5
12,4,1,5
22,0,0,5
54,2,0,4
25,3,0,5
213,1,8,5
29,0,1,1
366,14,10,5
31,2,0,5
73,4,5,5
23,3,0,5
27,0,1,4
32,1,0,5
55,2,4,5
71,5,2,2
41,1,2,3
196,11,3,2
30,2,0,5
51,3,0,5
24,4,0,5
291,17,2,4
274,15,2,5
33,4,0,5
130,6,2,5
24,2,0,5
85,1,2,3
24,2,1,5
45,3,2,5
37,3,0,4
43,5,0,4
143,2,4,5
30,4,0,5
33,2,1,5
656,19,10,5
27,0,1,5
161,14,3,5
74,6,1,5
24,2,0,4
99,3,2,4
29,2,0,5
39,3,1,5
57,4,0,5
29,3,0,5
437,28,13,5
91,9,2,5
71,4,1,5
64,2,2,5
91,3,1,5
370,16,6,5
71,1,3,4
30,4,0,4
43,4,1,5
37,4,0,5
32,2,0,5
45,1,1,3
459,28,6,5
1123,38,23,2
40,2,1,5
24,0,1,5
96,3,1,5
39,2,1,5
31,5,0,4
153,2,4,5
92,5,2,1
22,0,0,5
35,4,0,5
27,3,0,5
100,4,3,2
24,2,0,5
90,8,2,4
24,3,0,5
43,2,2,1
42,4,0,5
166,10,5,5
115,6,2,5
58,2,2,3
141,12,1,5
42,4,3,5
211,12,1,5
181,8,2,4
27,1,1,5
23,0,1,4
34,2,0,5
35,1,1,3
72,4,1,5
335,17,5,3
129,10,3,5
51,3,1,2
80,5,3,5
99,4,0,5
180,6,3,5
45,8,0,5
145,1,6,2
23,0,0,5
156,8,4,5
277,9,1,5
23,1,1,4
111,5,1,4
47,7,0,4
69,5,1,5
182,5,1,3
93,3,1,5
188,18,2,5
71,2,2,2
157,2,4,3
56,5,0,5
149,5,1,4
35,3,1,4
469,15,9,4
52,7,1,4
28,4,0,5
127,8,4,5
161,13,1,5
32,2,0,5
134,7,1,5
66,5,1,5
23,2,0,4
20,3,0,4
49,3,1,5
69,6,0,5
44,3,1,5
43,3,2,4
79,6,1,5
38,3,0,4
55,4,1,5
78,4,0,3
32,2,0,4
100,10,1,5
31,2,1,5
71,0,1,3
199,7,8,4
131,7,3,4
148,6,2,2
37,0,3,5
71,2,0,4
283,16,8,5
216,10,6,4
98,5,3,5
63,5,2,5
109,9,3,4
41,2,2,4
130,4,6,5
68,7,0,5
182,9,6,4
22,1,0,5
28,6,1,5
37,0,2,5
29,0,0,5
264,17,1,5
25,1,0,4
28,4,0,5
26,2,3,5
30,2,1,5
44,0,3,4
41,5,1,4
46,2,1,5
23,3,0,5
67,3,1,4
39,4,0,4
115,3,3,5
132,4,4,5
74,3,5,5
321,18,5,5
41,1,1,3
67,7,1,5
90,7,1,5
48,3,2,5
47,3,0,5
25,1,3,1
92,5,2,5
73,4,1,5
167,9,4,5
27,2,1,5
21,1,0,5
246,12,7,1
22,0,1,4
83,5,0,5
61,3,0,5
75,3,2,5
424,8,4,4
26,2,0,5
68,0,1,5
90,5,0,4
40,4,1,5
29,7,1,5
73,3,1,3
25,4,0,5
121,9,0,5
39,2,3,5
69,9,2,4
23,3,0,5
102,3,2,4
26,5,1,5
24,3,1,5
24,2,0,5
295,11,4,4
136,12,2,5
70,6,0,5
62,8,2,5
27,5,0,5
553,24,10,5
51,4,0,5
21,1,0,5
80,3,1,5
53,3,1,3
41,0,2,5
133,2,2,4
89,3,0,5
674,15,16,5
230,19,4,5
112,7,3,4
33,5,0,5
80,3,2,1
79,5,1,5
139,6,5,4
68,2,1,5
27,2,0,4
35,3,1,5
71,3,2,2
175,7,3,5
32,2,1,4
29,4,0,5
118,9,2,4
53,3,1,4
27,3,0,5
311,17,12,4
29,2,1,4
28,2,0,5
47,2,0,4
27,7,0,5
357,19,6,2
56,4,1,5
37,3,1,5
84,5,3,3
106,6,2,4
232,15,4,5
24,3,1,5
24,1,0,4
148,5,1,1
59,2,2,5
33,0,0,5
77,4,1,5
50,0,2,3
222,7,4,3
77,4,4,4
177,5,5,5
136,5,2,5
2,2,0,5
80,3,0,5
58,2,2,3
185,3,5,2
36,1,2,4
207,10,5,5
75,3,4,5
36,5,0,3
259,16,1,5
85,8,0,5
107,6,5,3
30,1,0,5
93,4,2,2
32,4,1,5
61,6,3,5
126,9,0,5
89,4,1,4
417,13,16,4
121,3,1,5
52,3,0,5
1892,67,32,5
31,5,0,5
49,0,1,5
70,9,1,5
50,2,0,5
50,3,1,5
84,10,0,5
210,14,5,5
59,3,1,5
26,4,0,5
36,3,0,5
24,2,1,4
302,12,5,5
38,1,0,5
50,2,0,4
51,3,0,5
68,4,0,4
31,2,0,5
28,1,0,3
25,4,0,4
37,4,0,5
26,5,0,5
22,2,0,5
241,14,3,4
49,8,0,5
141,10,5,5
30,4,1,3
28,2,0,5
65,3,3,4
180,11,4,5
26,1,0,4
24,2,0,5
359,12,1,4
346,9,8,5
59,2,2,5
43,3,0,5
5,1,0,5
75,7,1,5
23,1,1,5
43,1,2,5
235,1,5,3
31,1,0,5
227,7,2,5
20,3,0,5
64,5,2,5
26,3,1,5
50,9,0,5
121,6,2,4
34,3,1,5
25,2,1,5
68,2,4,2
616,17,9,5
81,3,2,5
86,6,2,5
99,3,1,5
28,2,1,5
38,3,1,5
40,6,0,5
93,4,2,2
86,6,0,3
44,0,1,2
25,4,2,5
30,2,0,5
44,3,0,5
96,2,2,5
1340,73,27,5
31,0,1,2
22,2,1,5
37,4,0,4
29,0,0,5
118,3,2,5
28,1,0,5
261,11,1,5
24,3,0,5
81,5,1,5
122,6,0,5
24,1,1,5
66,3,1,5
31,2,1,5
39,3,0,5
53,1,3,3
69,2,1,5
46,5,0,5
37,3,1,2
18,0,0,5
90,1,2,4
52,4,0,5
32,0,0,4
62,1,3,4
59,0,1,5
97,6,2,5
87,8,0,5
47,3,0,5
118,5,1,5
26,4,0,5
313,22,3,5
33,1,1,4
124,7,2,5
55,1,1,1
38,1,0,5
37,1,0,5
74,4,0,5
35,2,0,5
234,4,5,1
25,3,1,5
54,1,3,5
37,4,0,5
95,6,3,5
48,2,0,4
132,3,2,3
36,4,2,5
75,3,2,5
260,18,3,5
857,26,12,3
207,10,2,5
713,24,16,1
101,4,1,5
35,1,0,5
34,2,0,5
76,4,2,4
27,0,0,5
45,6,1,5
156,4,7,5
69,4,2,4
31,3,1,4
24,0,0,5
125,10,2,4
28,3,0,4
29,0,0,5
37,0,1,5
49,4,0,4
62,4,0,5
38,2,1,5
342,21,9,5
416,13,10,5
170,3,4,2
50,5,1,5
138,4,2,5
58,1,1,5
85,5,2,5
20,3,0,5
37,4,2,2
35,3,1,3
27,2,0,5
85,2,0,5
342,17,12,5
226,9,6,3
61,6,0,4
30,4,2,5
48,2,0,5
52,1,4,1
70,10,2,5
30,3,1,5
160,12,7,5
60,5,0,5
26,4,0,5
159,6,2,4
62,2,0,5
68,3,2,5
89,4,1,5
48,6,0,5
33,3,0,4
64,4,1,2
275,8,1,5
31,5,0,5
49,1,2,4
49,5,0,5
50,2,0,3
52,3,1,3
208,4,12,4
208,6,3,5
36,3,0,5
55,2,2,5
77,2,2,3
85,4,1,5
117,6,2,5
31,1,0,5
28,4,0,4
58,4,0,5
25,3,0,5
25,2,0,5
88,4,3,5
41,2,0,5
194,7,4,5
64,1,0,4
57,6,1,5
188,8,6,4
33,1,0,5
33,1,0,5
136,10,3,4
64,4,1,5
75,5,0,3
48,3,0,5
223,8,7,5
187,7,2,5
29,5,0,5
167,4,0,5
31,4,0,5
60,2,0,4
38,0,0,5
76,6,1,5
154,15,4,5
25,0,1,3
98,6,0,4
108,1,2,2
24,1,0,5
23,4,0,5
400,21,13,3
55,3,2,4
95,3,3,3
33,2,1,5
160,4,4,5
30,2,0,5
27,7,0,4
92,8,2,4
26,3,0,5
28,4,0,5
44,4,0,5
2,1,0,5
53,0,1,3
31,1,1,3
466,21,8,4
42,3,0,5
140,3,7,5
243,12,2,5
48,3,0,5
369,20,7,3
24,2,2,3
77,2,2,4
50,3,0,5
85,4,0,5
192,5,3,3
270,5,2,5
42,2,1,1
14,3,0,4
119,7,4,5
193,4,2,5
54,3,1,5
82,4,3,5
286,4,5,3
183,7,3,5
43,3,0,4
30,2,1,5
291,10,6,3
63,1,1,5
24,3,1,4
58,2,1,4
164,5,4,3
83,4,0,5
420,20,7,5
97,6,5,1
75,4,0,5
132,7,3,5
481,13,9,4
150,7,4,4
75,2,1,5
22,0,2,5
436,13,2,5
67,4,2,5
26,2,0,5
61,3,2,4
173,6,9,3
318,12,6,5
78,4,2,5
45,1,1,5
196,11,3,4
102,5,1,4
24,3,2,4
28,3,1,5
55,5,0,5
47,2,0,5
188,12,1,5
666,28,7,4
113,4,2,5
91,3,2,5
47,3,0,5
117,10,2,5
30,1,1,5
187,11,4,5
221,10,2,5
130,5,1,5
33,6,0,5
124,3,1,2
23,0,0,5
34,2,1,5
28,2,0,5
30,3,1,2
7,3,0,4
208,14,1,5
142,7,3,5
66,5,2,4
53,7,0,2
49,0,0,4
111,3,4,1
90,5,3,5
38,4,2,5
36,1,2,2
37,3,2,4
28,4,0,5
28,1,0,3
30,1,1,4
72,3,2,5
36,4,1,5
96,1,5,5
57,5,1,5
255,11,3,5
31,3,0,5
83,5,2,5
49,2,2,3
59,2,0,4
155,4,1,2
54,4,0,5
87,7,0,5
45,4,2,5
24,3,0,5
44,4,3,5
56,3,1,1
37,1,0,4
29,4,0,5
244,8,2,5
274,15,3,4
56,3,2,2
28,2,1,5
360,14,9,4
88,7,1,5
32,5,1,4
94,2,1,5
448,13,6,4
23,2,1,5
29,2,0,5
95,7,1,5
29,2,1,5
47,4,1,3
203,11,2,4
59,3,0,4
232,11,5,4
26,2,0,4
40,2,2,5
356,10,4,5
88,11,0,5
38,5,0,5
693,23,9,5
110,1,2,5
161,10,2,5
24,2,0,5
25,2,0,5
45,5,0,5
183,3,8,1
148,10,2,4
96,5,4,5
69,6,2,3
79,3,1,5
470,14,5,5
46,4,0,5
42,2,0,5
91,4,4,4
27,3,0,5
116,5,0,4
54,0,2,2
31,3,1,5
232,13,3,5
37,1,0,5
82,3,3,5
258,14,3,4
41,3,0,3
561,24,17,4
121,6,3,3
26,1,1,4
42,5,1,5
135,4,5,3
30,5,1,5
67,3,2,5
42,3,1,5
36,3,0,5
79,4,1,5
27,3,0,5
25,2,0,5
347,14,7,5
47,4,2,5
56,7,1,5
99,3,3,5
26,2,1,5
123,8,3,5
25,1,1,5
48,1,0,4
66,4,1,5
32,4,0,5
31,2,0,5
81,8,2,5
85,3,2,5
57,4,0,5
109,7,1,5
49,5,1,4
220,9,5,5
160,7,2,5
37,6,0,5
21,3,0,5
44,1,1,5
27,1,0,5
34,3,0,5
102,8,1,4
29,7,0,5
33,3,0,5
25,0,1,3
118,5,0,5
135,10,1,5
92,2,4,2
95,8,3,5
33,0,0,5
83,6,2,5
371,5,4,5
166,4,4,5
44,5,0,5
38,5,0,5
96,7,1,4
346,22,13,5
27,1,0,5
67,5,1,4
176,15,2,4
81,8,2,5
42,3,1,5
26,0,0,2
77,2,2,5
87,8,0,5
305,19,5,5
40,4,1,5
31,3,2,2
36,0,2,5
67,3,2,4
66,6,0,5
80,4,1,4
97,8,0,5
36,2,1,5
132,5,4,5
70,3,1,5
23,3,0,5
39,2,1,5
87,8,0,5
58,1,1,5
56,2,1,5
44,2,1,5
45,3,1,5
53,3,1,5
229,14,4,5
36,6,0,5
91,7,2,5
137,2,4,4
22,3,0,5
46,4,4,5
80,6,1,5
61,3,3,4
738,31,11,5
33,3,1,5
25,2,2,5
49,5,0,5
74,5,2,5
50,4,0,5
50,2,2,5
130,5,3,5
158,7,8,1
29,2,0,5
79,5,0,5
36,4,0,5
101,7,2,5
158,4,4,3
24,2,0,5
54,5,2,5
122,4,5,2
43,5,0,5
112,3,0,5
49,2,0,5
24,1,0,5
36,5,0,5
25,4,0,5
93,3,2,4
72,4,4,5
42,4,2,5
73,2,4,3
80,5,2,5
37,2,0,5
40,2,0,5
78,9,5,5
159,6,8,4
70,5,0,5
32,2,1,5
34,3,0,5
145,8,4,5
26,3,0,4
66,2,0,5
173,7,4,4
104,7,4,5
297,15,6,4
69,9,0,5
62,0,0,5
159,2,1,4
173,6,7,4
499,16,10,4
417,17,12,5
47,4,0,4
27,1,1,4
26,2,0,1
19,1,2,5
66,2,1,4
112,7,0,4
168,9,1,3
159,7,3,5
81,3,1,4
49,5,1,5
31,1,0,5
451,19,3,4
28,2,1,5
37,1,0,5
76,0,5,1
32,5,0,5
26,3,0,5
120,7,2,4
39,3,0,5
55,4,0,4
49,1,1,3
38,1,0,4
49,1,0,4
137,10,2,4
114,10,3,4
448,8,5,5
342,19,3,3
241,8,4,4
36,0,1,5
29,2,2,5
32,5,2,2
34,2,1,5
37,2,0,5
101,3,3,4
62,7,0,5
22,4,1,5
153,3,1,5
28,4,0,5
556,19,7,4
45,2,2,3
68,4,2,3
37,2,0,5
31,1,1,4
52,1,1,3
29,2,1,5
217,9,5,4
49,3,1,5
141,8,4,3
30,3,0,5
43,2,1,5
80,4,1,3
185,8,2,3
114,12,3,5
72,2,7,4
310,13,11,5
28,2,0,5
125,7,1,5
99,4,2,5
50,1,0,5
177,3,9,4
28,3,0,4
30,6,0,3
49,8,0,5
115,4,2,4
30,3,0,4
58,5,3,5
29,1,0,5
36,5,0,5
111,7,6,5
63,5,0,4
297,9,8,5
40,3,2,4
25,1,0,5
57,4,0,5
144,13,2,5
225,16,9,4
245,12,6,3
37,2,0,5
258,11,11,5
45,0,0,5
259,8,5,4
34,3,0,5
127,4,1,5
97,8,1,5
132,8,5,2
45,6,1,5
465,35,5,4
162,4,1,4
55,6,1,5
23,2,0,4
42,7,0,4
3,1,0,5
279,18,6,5
53,2,1,5
143,3,5,5
148,8,0,5
41,2,0,5
142,11,2,5
28,1,1,5
51,2,2,1
80,6,2,5
64,8,0,5
48,4,0,5
106,4,2,3
28,1,0,4
41,5,0,5
49,2,0,5
109,5,0,5
37,1,0,5
57,4,3,4
316,15,2,5
58,5,1,5
23,2,0,5
42,5,2,4
78,8,1,5
54,6,0,5
62,3,5,5
157,4,3,4
364,18,2,5
83,4,2,5
135,6,5,3
24,4,1,5
191,7,2,5
38,1,0,4
36,3,1,5
153,8,3,5
29,4,0,5
43,2,0,5
31,3,3,5
156,4,2,5
66,2,3,3
78,3,2,4
29,3,0,5
37,2,1,4
98,6,0,1
88,3,0,5
69,2,4,5
48,2,2,3
138,5,3,4
42,6,0,5
72,5,1,4
23,2,0,5
480,18,7,5
194,4,4,4
36,1,2,5
48,4,1,4
44,3,0,5
30,2,0,5
86,2,2,4
739,28,6,4
47,2,1,5
75,4,2,5
498,25,13,5
22,2,2,5
45,2,0,5
237,9,5,5
29,2,2,2
96,3,3,5
886,47,25,5
86,1,2,2
25,3,0,5
59,4,1,5
22,3,0,5
315,16,5,5
24,2,0,5
238,3,6,5
317,14,4,4
33,5,1,5
22,2,0,5
99,6,1,5
223,5,10,4
46,7,2,5
23,4,0,4
162,5,6,5
214,11,3,5
25,3,0,4
26,3,0,3
369,25,5,5
217,14,4,4
31,1,0,5
46,3,1,5
32,3,1,4
68,1,1,5
121,5,2,5
30,2,0,4
30,2,1,5
68,4,0,5
96,7,3,5
77,3,1,5
34,5,1,5
46,3,0,4
51,5,0,5
76,6,1,4
25,0,0,4
61,5,0,5
24,0,2,3
29,1,1,5
49,4,0,5
223,17,2,5
32,4,0,5
334,13,4,3
104,5,0,4
24,1,1,5
323,9,4,5
86,4,2,5
81,4,4,5
87,7,0,5
29,3,1,5
21,4,0,5
64,1,0,5
29,3,0,4
224,15,3,5
75,4,1,4
109,7,2,5
108,7,0,5
177,1,7,3
34,2,1,5
74,6,1,5
89,3,1,5
72,7,1,5
90,6,0,5
737,45,10,4
24,5,1,5
26,3,0,5
70,1,2,5
23,3,0,4
199,13,1,5
145,5,3,5
81,2,2,5
75,2,0,4
80,2,3,5
46,5,1,5
36,3,1,5
68,6,0,5
28,5,0,5
147,7,5,1
175,7,5,4
70,3,0,5
44,6,0,5
156,6,1,5
96,4,1,5
49,0,0,4
64,0,0,5
63,3,1,5
48,4,1,5
30,2,0,5
42,5,0,5
77,5,0,5
50,2,0,4
37,3,1,5
75,3,6,5
37,1,0,5
37,4,0,5
312,22,4,5
29,2,1,5
27,2,0,3
51,5,0,5
39,1,0,5
45,2,0,5
167,8,5,3
22,3,0,5
56,3,2,5
25,1,1,5
136,5,0,5
67,7,0,4
69,4,0,5
92,3,2,5
91,8,3,5
70,6,3,5
102,3,3,5
33,3,1,4
83,3,1,5
44,6,0,5
45,1,1,5
213,13,1,5
232,14,10,5
65,6,4,5
63,3,1,3
70,2,2,5
158,7,3,5
69,0,3,5
164,5,2,4
95,9,1,5
46,2,0,5
169,9,2,4
91,5,2,5
26,3,0,4
175,9,4,3
191,4,5,5
29,1,0,4
21,3,0,5
168,11,2,4
76,4,1,2
50,5,2,5
84,6,0,4
32,3,0,5
294,11,3,5
157,14,1,5
26,4,0,5
41,3,2,5
23,2,1,5
33,3,2,5
22,5,0,5
38,1,1,3
54,4,1,5
37,2,0,4
46,3,2,4
41,2,1,4
43,4,0,4
102,3,0,5
37,1,0,5
26,1,0,5
78,4,2,5
119,6,1,4
23,3,0,5
68,1,1,5
56,4,2,5
33,5,0,5
121,7,2,5
26,0,0,3
59,2,0,4
24,3,0,5
28,2,0,5
34,1,1,3
87,5,1,5
98,2,0,5
102,2,2,5
45,3,2,5
25,1,0,5
35,1,1,5
45,1,0,5
82,7,3,5
43,2,2,5
30,5,0,5
301,7,6,4
32,2,0,5
30,3,0,5
496,21,9,5
180,12,2,4
23,1,0,5
41,3,0,4
124,8,2,5
125,4,4,5
373,19,7,5
70,6,4,5
60,4,1,4
38,5,0,5
106,3,1,5
58,6,0,5
40,3,3,3
25,3,0,5
53,7,1,5
64,4,2,5
112,7,0,5
75,1,2,3
192,10,3,5
131,10,5,3
386,10,5,3
29,6,0,5
513,16,1,5
34,4,2,5
70,3,3,5
449,17,8,4
130,2,2,4
88,8,2,4
127,4,3,5
105,3,2,5
26,2,0,4
61,2,2,5
35,2,1,5
363,20,5,4
57,3,1,2
33,2,0,5
114,8,3,5
27,2,0,5
23,2,1,4
98,6,3,5
131,8,3,4
30,1,0,5
47,5,2,5
403,16,4,5
25,2,0,4
37,2,2,4
27,3,0,5
23,2,0,5
74,4,1,3
58,4,1,3
130,9,2,4
29,3,0,4
41,5,2,4
26,5,0,5
38,3,1,5
35,2,0,5
89,5,2,5
90,4,3,5
65,2,1,5
66,4,5,5
35,4,3,5
144,9,1,5
151,11,0,5
56,4,0,5
56,5,2,5
49,3,0,5
50,4,0,5
67,3,3,4
79,2,0,5
80,4,1,5
70,4,1,2
42,5,0,5
53,3,0,5
88,3,3,4
31,1,1,5
141,9,3,4
364,11,3,3
51,0,1,5
362,25,6,5
164,8,6,4
68,6,0,5
33,3,2,4
48,4,0,5
238,7,12,5
56,2,2,3
43,5,1,5
27,5,0,5
281,16,7,5
42,3,0,5
298,14,3,5
29,3,0,4
41,2,0,5
157,6,1,4
182,6,3,5
200,7,0,5
22,2,0,5
31,3,0,5
24,3,0,5
36,5,1,5
104,5,3,3
154,8,1,5
114,4,2,2
28,1,0,5
66,3,2,2
33,5,0,5
109,9,0,5
145,4,3,3
112,7,3,4
177,10,3,3
36,2,1,3
28,2,0,5
186,13,3,4
211,10,7,5
42,2,0,5
108,8,3,3
254,6,4,5
54,3,0,5
47,2,3,5
140,4,2,5
149,3,1,4
59,6,0,5
25,0,0,5
56,2,2,5
49,2,0,4
22,4,0,4
47,6,0,5
85,2,4,2
26,6,0,5
219,15,7,5
302,13,2,4
48,2,0,5
